vote_type,votes,perc_emit,ubigeo,ambito,departamento,provincia,distrito
TOTAL DE VOTOS VÁLIDOS,523.0,76.91,010103,PERÚ,AMAZONAS,CHACHAPOYAS,BALSAS
VOTOS EN BLANCO,133.0,19.56,010103,PERÚ,AMAZONAS,CHACHAPOYAS,BALSAS
VOTOS NULOS,24.0,3.53,010103,PERÚ,AMAZONAS,CHACHAPOYAS,BALSAS
TOTAL DE VOTOS EMITIDOS,680.0,100.0,010103,PERÚ,AMAZONAS,CHACHAPOYAS,BALSAS
TOTAL DE VOTOS VÁLIDOS,11774.0,83.3,010101,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
VOTOS EN BLANCO,1584.0,11.21,010101,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
VOTOS NULOS,776.0,5.49,010101,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
TOTAL DE VOTOS EMITIDOS,14134.0,100.0,010101,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
TOTAL DE VOTOS VÁLIDOS,347.0,75.43,010104,PERÚ,AMAZONAS,CHACHAPOYAS,CHETO
VOTOS EN BLANCO,80.0,17.39,010104,PERÚ,AMAZONAS,CHACHAPOYAS,CHETO
VOTOS NULOS,33.0,7.17,010104,PERÚ,AMAZONAS,CHACHAPOYAS,CHETO
TOTAL DE VOTOS EMITIDOS,460.0,100.0,010104,PERÚ,AMAZONAS,CHACHAPOYAS,CHETO
TOTAL DE VOTOS VÁLIDOS,352.0,73.79,010105,PERÚ,AMAZONAS,CHACHAPOYAS,CHILIQUIN
VOTOS EN BLANCO,104.0,21.8,010105,PERÚ,AMAZONAS,CHACHAPOYAS,CHILIQUIN
VOTOS NULOS,21.0,4.4,010105,PERÚ,AMAZONAS,CHACHAPOYAS,CHILIQUIN
TOTAL DE VOTOS EMITIDOS,477.0,100.0,010105,PERÚ,AMAZONAS,CHACHAPOYAS,CHILIQUIN
TOTAL DE VOTOS VÁLIDOS,592.0,73.18,010106,PERÚ,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA
VOTOS EN BLANCO,150.0,18.54,010106,PERÚ,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA
VOTOS NULOS,67.0,8.28,010106,PERÚ,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA
TOTAL DE VOTOS EMITIDOS,809.0,100.0,010106,PERÚ,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA
TOTAL DE VOTOS VÁLIDOS,244.0,79.22,010107,PERÚ,AMAZONAS,CHACHAPOYAS,GRANADA
VOTOS EN BLANCO,54.0,17.53,010107,PERÚ,AMAZONAS,CHACHAPOYAS,GRANADA
VOTOS NULOS,10.0,3.25,010107,PERÚ,AMAZONAS,CHACHAPOYAS,GRANADA
TOTAL DE VOTOS EMITIDOS,308.0,100.0,010107,PERÚ,AMAZONAS,CHACHAPOYAS,GRANADA
TOTAL DE VOTOS VÁLIDOS,260.0,77.61,010108,PERÚ,AMAZONAS,CHACHAPOYAS,HUANCAS
VOTOS EN BLANCO,56.0,16.72,010108,PERÚ,AMAZONAS,CHACHAPOYAS,HUANCAS
VOTOS NULOS,19.0,5.67,010108,PERÚ,AMAZONAS,CHACHAPOYAS,HUANCAS
TOTAL DE VOTOS EMITIDOS,335.0,100.0,010108,PERÚ,AMAZONAS,CHACHAPOYAS,HUANCAS
