vote_type,votes,perc_emit,ubigeo,ambito,departamento,provincia,distrito
VOTOS NULOS,36.0,5.202,010111,PERÚ,AMAZONAS,CHACHAPOYAS,LEVANTO
TOTAL DE VOTOS EMITIDOS,692.0,100.0,010111,PERÚ,AMAZONAS,CHACHAPOYAS,LEVANTO
TOTAL DE VOTOS VÁLIDOS,478.0,92.456,010112,PERÚ,AMAZONAS,CHACHAPOYAS,MAGDALENA
VOTOS EN BLANCO,3.0,0.58,010112,PERÚ,AMAZONAS,CHACHAPOYAS,MAGDALENA
VOTOS NULOS,36.0,6.963,010112,PERÚ,AMAZONAS,CHACHAPOYAS,MAGDALENA
TOTAL DE VOTOS EMITIDOS,517.0,100.0,010112,PERÚ,AMAZONAS,CHACHAPOYAS,MAGDALENA
TOTAL DE VOTOS VÁLIDOS,549.0,93.526,010113,PERÚ,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
VOTOS EN BLANCO,5.0,0.852,010113,PERÚ,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
VOTOS NULOS,33.0,5.622,010113,PERÚ,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
TOTAL DE VOTOS EMITIDOS,587.0,100.0,010113,PERÚ,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
TOTAL DE VOTOS VÁLIDOS,1188.0,92.595,010114,PERÚ,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
VOTOS EN BLANCO,12.0,0.935,010114,PERÚ,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
VOTOS NULOS,83.0,6.469,010114,PERÚ,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
TOTAL DE VOTOS EMITIDOS,1283.0,100.0,010114,PERÚ,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
TOTAL DE VOTOS VÁLIDOS,441.0,97.137,010115,PERÚ,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
VOTOS EN BLANCO,1.0,0.22,010115,PERÚ,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
VOTOS NULOS,12.0,2.643,010115,PERÚ,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
TOTAL DE VOTOS EMITIDOS,454.0,100.0,010115,PERÚ,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
TOTAL DE VOTOS VÁLIDOS,232.0,93.548,010116,PERÚ,AMAZONAS,CHACHAPOYAS,OLLEROS
VOTOS EN BLANCO,2.0,0.806,010116,PERÚ,AMAZONAS,CHACHAPOYAS,OLLEROS
VOTOS NULOS,14.0,5.645,010116,PERÚ,AMAZONAS,CHACHAPOYAS,OLLEROS
TOTAL DE VOTOS EMITIDOS,248.0,100.0,010116,PERÚ,AMAZONAS,CHACHAPOYAS,OLLEROS
TOTAL DE VOTOS VÁLIDOS,456.0,91.2,010117,PERÚ,AMAZONAS,CHACHAPOYAS,QUINJALCA
VOTOS EN BLANCO,9.0,1.8,010117,PERÚ,AMAZONAS,CHACHAPOYAS,QUINJALCA
VOTOS NULOS,35.0,7.0,010117,PERÚ,AMAZONAS,CHACHAPOYAS,QUINJALCA
TOTAL DE VOTOS EMITIDOS,500.0,100.0,010117,PERÚ,AMAZONAS,CHACHAPOYAS,QUINJALCA
TOTAL DE VOTOS VÁLIDOS,216.0,98.182,010118,PERÚ,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
VOTOS EN BLANCO,1.0,0.455,010118,PERÚ,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
VOTOS NULOS,3.0,1.364,010118,PERÚ,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
TOTAL DE VOTOS EMITIDOS,220.0,100.0,010118,PERÚ,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
TOTAL DE VOTOS VÁLIDOS,395.0,98.259,010119,PERÚ,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
VOTOS EN BLANCO,0.0,0.0,010119,PERÚ,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
VOTOS NULOS,7.0,1.741,010119,PERÚ,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
