party,votes,perc_valid,perc_emit,ubigeo,ambito,departamento,provincia,distrito
FUERZA POPULAR ,193.0,57.101,53.76,010415,PERÚ,AMAZONAS,LUYA,SAN CRISTOBAL
PERUANOS POR EL KAMBIO ,201.0,49.144,46.528,010416,PERÚ,AMAZONAS,LUYA,SAN FRANCISCO DE YESO
FUERZA POPULAR ,208.0,50.856,48.148,010416,PERÚ,AMAZONAS,LUYA,SAN FRANCISCO DE YESO
PERUANOS POR EL KAMBIO ,142.0,37.27,34.634,010417,PERÚ,AMAZONAS,LUYA,SAN JERONIMO
FUERZA POPULAR ,239.0,62.73,58.293,010417,PERÚ,AMAZONAS,LUYA,SAN JERONIMO
PERUANOS POR EL KAMBIO ,83.0,31.923,29.749,010418,PERÚ,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
FUERZA POPULAR ,177.0,68.077,63.441,010418,PERÚ,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
PERUANOS POR EL KAMBIO ,197.0,28.971,28.023,010419,PERÚ,AMAZONAS,LUYA,SANTA CATALINA
FUERZA POPULAR ,483.0,71.029,68.706,010419,PERÚ,AMAZONAS,LUYA,SANTA CATALINA
PERUANOS POR EL KAMBIO ,503.0,34.079,32.161,010420,PERÚ,AMAZONAS,LUYA,SANTO TOMAS
FUERZA POPULAR ,973.0,65.921,62.212,010420,PERÚ,AMAZONAS,LUYA,SANTO TOMAS
PERUANOS POR EL KAMBIO ,258.0,35.734,33.725,010421,PERÚ,AMAZONAS,LUYA,TINGO
FUERZA POPULAR ,464.0,64.266,60.654,010421,PERÚ,AMAZONAS,LUYA,TINGO
PERUANOS POR EL KAMBIO ,416.0,59.344,55.246,010422,PERÚ,AMAZONAS,LUYA,TRITA
FUERZA POPULAR ,285.0,40.656,37.849,010422,PERÚ,AMAZONAS,LUYA,TRITA
PERUANOS POR EL KAMBIO ,6818.0,53.079,50.11,010500,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,TODOS
FUERZA POPULAR ,6027.0,46.921,44.297,010500,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,TODOS
